district,date,rain_sum,precipitation_sum,daylight_duration,uv_index_max,temp_max,temp_min,temp_daily_avg,humidity_daily_avg,rain_daily_total,precip_prob_daily_avg,dew_point_avg
Ampara,2025-12-07,0.0,1.0,42177.58,7.8,30.3,23.5,26.258333333333336,84.33333333333333,0.0,14.625,23.25
Ampara,2025-12-08,0.0,0.0,42170.15,7.05,30.7,24.2,26.566666666666666,80.20833333333333,0.0,14.875,22.712500000000002
Ampara,2025-12-09,0.0,7.9,42163.25,6.5,28.0,24.3,25.662499999999998,87.58333333333333,0.0,41.833333333333336,23.4375
Ampara,2025-12-10,0.0,5.5,42156.9,6.9,27.1,23.9,25.2625,91.70833333333333,0.0,34.25,23.8
Ampara,2025-12-11,0.0,2.9,42151.12,7.95,28.1,23.5,25.604166666666668,88.125,0.0,29.416666666666668,23.429166666666664
Ampara,2025-12-12,0.0,0.0,42145.93,6.0,29.6,23.1,25.96666666666667,84.04166666666667,0.0,17.958333333333332,22.895833333333332
Trincomalee,2025-12-06,0.0,2.6,41933.07,7.55,30.5,23.1,25.55,86.95833333333333,0.0,23.541666666666668,23.008333333333336
Trincomalee,2025-12-07,0.0,1.2,41923.67,7.45,28.9,23.1,25.383333333333336,87.66666666666667,0.0,20.083333333333332,23.016666666666666
Trincomalee,2025-12-08,0.0,0.3,41914.87,5.85,30.7,23.2,25.745833333333334,82.54166666666667,0.0,16.75,22.183333333333334
Trincomalee,2025-12-09,0.0,10.1,41906.71,4.0,26.7,23.3,24.3875,92.75,0.1,54.416666666666664,23.099999999999998
Trincomalee,2025-12-10,0.1,8.7,41899.2,6.85,27.0,23.3,24.683333333333334,92.875,0.0,46.333333333333336,23.40416666666667
Trincomalee,2025-12-11,0.0,4.7,41892.36,7.2,27.5,22.9,24.733333333333334,91.5,0.0,37.333333333333336,23.183333333333334
Trincomalee,2025-12-12,0.0,0.9,41886.21,3.2,27.7,22.5,24.758333333333336,88.66666666666667,0.0,22.958333333333332,22.6375
Kurunegala,2025-12-06,0.0,0.1,42135.15,7.85,32.5,20.9,26.2375,80.625,0.0,13.833333333333334,22.208333333333332
Kurunegala,2025-12-07,0.0,0.1,42126.91,6.9,32.1,22.5,26.425,81.0,0.0,9.291666666666666,22.579166666666666
Kurunegala,2025-12-08,0.0,0.0,42119.21,7.8,31.5,23.0,26.420833333333334,79.16666666666667,0.0,3.6666666666666665,22.175
Kurunegala,2025-12-09,0.0,1.6,42112.06,5.05,28.7,23.6,25.433333333333334,87.125,0.0,32.375,23.058333333333334
Kurunegala,2025-12-10,0.0,3.0,42105.48,6.55,30.5,22.2,25.704166666666666,86.04166666666667,0.0,25.208333333333332,23.0125
Kurunegala,2025-12-11,0.0,0.0,42099.48,7.25,31.2,22.7,26.170833333333334,82.66666666666667,0.0,21.916666666666668,22.733333333333334
Kurunegala,2025-12-12,0.0,0.0,42094.1,7.15,31.5,22.1,26.195833333333336,80.58333333333333,0.0,12.0,22.254166666666666
Puttalam,2025-12-06,0.0,4.5,42034.23,7.8,29.0,25.0,26.7,85.66666666666667,0.0,26.0,24.066666666666666
Puttalam,2025-12-07,0.0,0.7,42025.4,7.35,29.2,25.0,26.520833333333332,85.0,0.0,15.625,23.754166666666666
Puttalam,2025-12-08,0.0,0.0,42017.15,7.85,28.9,24.9,26.45,82.125,0.0,7.083333333333333,23.087500000000002
Puttalam,2025-12-09,0.0,2.2,42009.5,4.35,27.2,25.2,26.05,85.54166666666667,0.0,32.125,23.45
Puttalam,2025-12-10,0.0,9.3,42002.46,7.15,28.1,24.8,25.995833333333334,87.5,0.0,44.625,23.754166666666666
Puttalam,2025-12-11,0.0,10.2,41996.04,6.0,28.3,24.9,26.212500000000002,86.625,0.0,21.333333333333332,23.787499999999998
Puttalam,2025-12-12,0.0,1.5,41990.27,6.05,28.9,24.5,25.974999999999998,85.83333333333333,0.0,14.375,23.383333333333336
Anuradhapura,2025-12-06,0.0,0.3,41983.68,7.75,31.5,23.0,26.120833333333334,84.08333333333333,0.0,12.583333333333334,22.912499999999998
Anuradhapura,2025-12-07,0.0,0.3,41974.57,5.95,30.7,23.6,26.179166666666664,83.875,0.0,12.375,22.97083333333333
Anuradhapura,2025-12-08,0.0,0.0,41966.04,7.75,31.0,23.3,26.162499999999998,80.54166666666667,0.0,6.583333333333333,22.150000000000002
Anuradhapura,2025-12-09,0.0,6.7,41958.14,7.45,27.4,23.5,24.775000000000002,90.70833333333333,0.0,42.625,23.099999999999998
Anuradhapura,2025-12-10,0.0,8.4,41950.86,4.85,29.5,23.2,25.2,89.91666666666667,0.0,35.666666666666664,23.3
Anuradhapura,2025-12-11,0.0,3.3,41944.23,4.75,29.1,23.3,25.495833333333334,87.91666666666667,0.0,32.0,23.204166666666666
Anuradhapura,2025-12-12,0.0,0.9,41938.27,2.45,29.9,23.0,25.545833333333334,85.375,0.0,18.416666666666668,22.662499999999998
Polonnaruwa,2025-12-06,0.0,1.1,42034.23,7.35,30.5,23.5,25.7625,85.16666666666667,0.0,18.541666666666668,22.912499999999998
Polonnaruwa,2025-12-07,0.0,2.6,42025.4,7.1,29.2,23.4,25.412499999999998,86.41666666666667,0.0,18.416666666666668,22.837500000000002
Polonnaruwa,2025-12-08,0.0,0.6,42017.15,7.35,30.3,23.3,25.712500000000002,82.08333333333333,0.0,15.75,22.108333333333334
Polonnaruwa,2025-12-09,0.0,10.8,42009.5,4.35,27.0,23.5,24.516666666666666,91.41666666666667,0.0,51.0,23.025000000000002
Polonnaruwa,2025-12-10,0.0,11.8,42002.46,5.25,26.7,23.5,24.629166666666666,92.70833333333333,0.0,43.625,23.349999999999998
Polonnaruwa,2025-12-11,0.0,5.7,41996.04,6.35,27.1,23.2,24.71666666666667,90.875,0.0,37.791666666666664,23.1125
Polonnaruwa,2025-12-12,0.0,0.8,41990.27,2.55,28.2,23.0,25.0625,86.83333333333333,0.0,24.458333333333332,22.604166666666668
Badulla,2025-12-06,0.0,0.1,42210.71,7.45,25.7,18.4,21.316666666666666,80.70833333333333,0.0,6.0,17.654166666666665
Badulla,2025-12-07,0.0,0.3,42202.9,8.05,25.2,18.6,21.104166666666668,87.16666666666667,0.0,5.375,18.6875
Badulla,2025-12-08,0.0,0.0,42195.6,8.0,24.8,17.8,20.8875,86.25,0.0,4.416666666666667,18.358333333333334
Badulla,2025-12-09,0.0,7.9,42188.83,5.5,23.7,19.0,20.595833333333335,92.625,0.0,30.875,19.316666666666666
Badulla,2025-12-10,0.0,1.8,42182.6,7.35,22.7,18.7,20.375,91.375,0.0,20.375,18.895833333333332
Badulla,2025-12-11,0.0,0.3,42176.92,7.7,24.3,18.8,20.912499999999998,86.375,0.0,15.75,18.454166666666666
Badulla,2025-12-12,0.0,0.0,42171.82,6.45,25.5,17.9,21.066666666666666,82.33333333333333,0.0,11.416666666666666,17.708333333333332
Monaragala,2025-12-06,0.0,0.0,42286.14,7.85,30.1,21.9,24.891666666666666,69.91666666666667,0.0,15.958333333333334,18.770833333333332
Monaragala,2025-12-07,0.0,3.9,42278.78,7.45,29.3,21.6,24.462500000000002,77.95833333333333,0.0,16.208333333333332,20.191666666666666
Monaragala,2025-12-08,0.0,0.7,42271.89,7.95,29.8,21.6,24.825,74.375,0.0,8.083333333333334,19.733333333333334
Monaragala,2025-12-09,0.0,28.1,42265.48,7.45,26.8,22.2,23.65416666666667,86.33333333333333,0.0,39.208333333333336,21.204166666666666
Monaragala,2025-12-10,0.0,0.9,42259.61,7.35,26.7,21.7,24.116666666666664,78.70833333333333,0.0,32.833333333333336,20.120833333333334
Monaragala,2025-12-11,0.0,0.3,42254.25,8.05,28.5,22.4,24.645833333333332,73.0,0.0,27.333333333333332,19.400000000000002
Monaragala,2025-12-12,0.0,0.0,42249.43,6.6,29.8,21.5,24.84166666666667,67.91666666666667,0.0,15.833333333333334,18.270833333333332
Ratnapura,2025-12-06,0.0,12.1,42311.27,7.55,30.8,24.0,26.458333333333332,90.54166666666667,0.0,30.958333333333332,24.691666666666666
Ratnapura,2025-12-07,0.0,0.8,42304.04,7.35,31.6,23.7,27.03333333333333,85.125,0.0,21.5,24.141666666666666
Ratnapura,2025-12-08,0.0,0.9,42297.29,7.9,33.2,23.8,27.412499999999998,82.875,0.0,17.541666666666668,23.879166666666666
Ratnapura,2025-12-09,0.0,15.1,42291.02,7.15,30.7,23.7,26.474999999999998,86.33333333333333,0.0,28.5,23.891666666666666
Ratnapura,2025-12-10,0.0,14.1,42285.25,7.55,30.4,23.1,26.337500000000002,90.08333333333333,0.0,41.083333333333336,24.491666666666664
Ratnapura,2025-12-11,0.0,15.7,42280.0,7.45,30.7,24.0,26.854166666666668,89.125,0.0,30.541666666666668,24.825
Ratnapura,2025-12-12,0.0,2.0,42275.27,6.65,30.6,24.2,26.90833333333333,85.83333333333333,0.0,34.625,24.195833333333336
Kegalle,2025-12-06,0.0,1.0,42185.54,7.95,32.2,22.3,26.15833333333333,84.125,0.0,13.916666666666666,22.925
Kegalle,2025-12-07,0.0,1.7,42177.58,6.95,31.5,23.0,26.6125,82.95833333333333,0.0,10.166666666666666,23.224999999999998
Kegalle,2025-12-08,0.0,0.0,42170.15,7.95,31.8,22.8,26.65833333333333,78.41666666666667,0.0,3.375,22.241666666666664
Kegalle,2025-12-09,0.0,3.1,42163.25,7.35,29.4,24.0,25.775000000000002,86.33333333333333,0.0,31.041666666666668,23.229166666666668
Kegalle,2025-12-10,0.0,5.4,42156.9,7.05,30.0,22.5,25.75,88.04166666666667,0.0,25.5,23.479166666666668
Kegalle,2025-12-11,0.0,0.9,42151.12,6.1,30.6,22.6,26.066666666666666,85.54166666666667,0.0,21.916666666666668,23.2375
Kegalle,2025-12-12,0.0,0.0,42145.93,6.5,32.6,22.0,26.316666666666666,81.25,0.0,14.666666666666666,22.429166666666664
